FIPS,Category,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*",2010 Population,CO 8-hr (ppm),Pb 3-mo (µg/m3),NO2 AM (ppb),NO2 1-hr (ppb),O3 8-hr (ppm),PM10 24-hr (µg/m3),PM2.5 Wtd AM (µg/m3),PM2.5 24-hr (µg/m3),SO2 1-hr (ppb)
1033,Cardiovascular diseases,514.95,500.71,455.44,426.78,390.56,348.79,298.78,308.32,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,"Diarrhea, lower respiratory, and other common infectious diseases",29.32,31.12,35.19,38.3,39.22,37.3,38.43,40.8,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Maternal disorders,0.22,0.21,0.28,0.3,0.27,0.37,0.39,0.38,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Other non-communicable diseases,9.4,9.26,8.98,7.94,7.24,7.18,6.88,6.84,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Self-harm and interpersonal violence,24.09,24.42,26.44,28.03,24.35,26.24,28.59,29.53,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Neoplasms,232.29,242.56,247.89,258.04,250.17,244.9,241.83,247.47,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Transport injuries,31.9,30.05,32.31,31.93,30.05,30.94,26.88,26.1,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Neglected tropical diseases and malaria,0.05,0.04,0.04,0.03,0.04,0.06,0.06,0.05,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1049,Neonatal disorders,7.08,5.48,4.82,3.83,4.04,4.32,3.75,3.51,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,HIV/AIDS and tuberculosis,1.14,1.27,4.28,7.38,2.42,2.09,1.38,1.16,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Musculoskeletal disorders,3.3,3.31,3.35,3.51,3.76,3.55,3.03,2.9,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,"Diabetes, urogenital, blood, and endocrine diseases",45.42,48.15,50.55,54.91,62.66,67.11,64.49,65.17,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Digestive diseases,18.34,18.16,17.15,16.78,16.45,16.13,14.85,14.3,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Chronic respiratory diseases,38.07,45.27,50.83,59.46,73.47,85.81,92.97,101.83,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Neurological disorders,54.5,59.95,65.95,75.51,86.46,94.64,108.0,115.57,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Cirrhosis and other chronic liver diseases,15.0,15.57,15.47,15.34,16.85,19.87,22.42,23.52,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Mental and substance use disorders,2.57,2.83,3.43,4.0,5.49,9.03,12.06,12.65,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,"Forces of nature, war, and legal intervention",0.39,0.61,0.41,0.4,0.43,2.48,0.62,0.17,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Unintentional injuries,32.11,30.58,28.36,27.64,25.79,28.5,28.54,27.02,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Nutritional deficiencies,2.06,2.15,2.13,2.51,2.82,2.25,2.04,2.12,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,"Other communicable, maternal, neonatal, and nutritional diseases",1.54,1.69,2.17,2.7,2.85,1.96,1.33,1.32,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Cardiovascular diseases,540.16,532.32,485.05,456.37,441.29,410.6,365.48,354.46,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,"Diarrhea, lower respiratory, and other common infectious diseases",33.11,35.14,36.38,38.59,39.62,39.24,36.5,37.84,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Maternal disorders,0.19,0.18,0.23,0.24,0.23,0.32,0.32,0.32,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Other non-communicable diseases,9.89,9.75,9.46,8.32,7.89,7.94,7.62,7.59,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Self-harm and interpersonal violence,24.3,24.41,24.39,24.08,20.63,22.24,23.35,24.43,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Neoplasms,215.26,226.06,225.67,231.01,229.15,225.98,219.89,221.31,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Transport injuries,35.16,33.43,34.36,32.31,31.6,32.4,28.46,26.66,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1049,Neglected tropical diseases and malaria,0.04,0.04,0.03,0.02,0.03,0.06,0.05,0.05,71109.0,ND,ND,ND,ND,0.066,ND,8.9,21,ND
1051,Neonatal disorders,9.2,7.1,6.41,5.02,5.08,5.24,4.64,4.26,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,HIV/AIDS and tuberculosis,1.0,1.51,6.45,11.24,4.16,3.75,2.58,2.34,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Musculoskeletal disorders,2.59,2.66,2.78,3.03,3.21,3.03,2.66,2.71,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,"Diabetes, urogenital, blood, and endocrine diseases",50.63,53.6,56.25,63.12,67.91,71.09,65.05,67.97,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Digestive diseases,22.3,22.01,20.89,20.52,19.39,18.38,16.91,16.93,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Chronic respiratory diseases,40.99,47.32,51.61,62.14,73.04,78.85,84.14,91.25,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Neurological disorders,64.88,70.24,77.62,88.31,108.34,112.38,131.19,129.08,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Cirrhosis and other chronic liver diseases,16.59,16.29,15.53,15.21,15.38,16.74,17.78,17.88,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Mental and substance use disorders,2.55,2.51,2.82,3.24,4.15,5.47,7.2,7.47,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,"Forces of nature, war, and legal intervention",0.3,0.3,0.27,0.23,0.25,1.35,0.28,0.08,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Unintentional injuries,33.34,29.72,27.28,25.23,23.87,24.9,25.67,24.73,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Nutritional deficiencies,1.97,2.16,2.4,2.7,3.0,2.53,2.49,2.73,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,"Other communicable, maternal, neonatal, and nutritional diseases",1.54,1.75,2.23,2.68,2.86,1.91,1.3,1.29,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Cardiovascular diseases,559.31,515.32,453.03,425.79,380.5,322.81,281.11,277.36,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,"Diarrhea, lower respiratory, and other common infectious diseases",32.84,34.8,37.57,39.26,38.12,35.8,34.35,36.66,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Maternal disorders,0.27,0.24,0.27,0.22,0.22,0.32,0.36,0.35,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Other non-communicable diseases,11.41,10.7,10.12,8.95,8.1,7.74,7.33,7.28,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Self-harm and interpersonal violence,25.48,24.69,24.79,23.46,20.57,21.02,22.73,23.85,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Neoplasms,241.87,250.46,253.63,262.09,253.91,245.87,239.28,246.34,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Transport injuries,36.23,33.5,33.89,32.12,30.1,31.53,27.36,27.14,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1051,Neglected tropical diseases and malaria,0.04,0.04,0.03,0.02,0.03,0.05,0.05,0.05,79303.0,ND,ND,ND,ND,0.061,ND,ND,ND,ND
1053,Neonatal disorders,10.44,8.04,7.07,5.7,5.69,5.94,5.19,4.79,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,HIV/AIDS and tuberculosis,1.56,2.37,9.05,15.64,5.73,4.91,3.51,3.19,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Musculoskeletal disorders,3.64,3.7,3.86,4.34,4.68,4.5,3.96,3.96,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,"Diabetes, urogenital, blood, and endocrine diseases",61.29,63.97,67.73,78.04,87.77,94.56,90.8,93.11,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Digestive diseases,22.53,21.66,20.42,20.16,19.28,18.39,16.9,16.36,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Chronic respiratory diseases,39.04,42.36,46.36,53.72,60.73,63.85,65.02,67.63,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Neurological disorders,88.23,93.26,95.57,111.17,121.05,126.44,125.92,121.58,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Cirrhosis and other chronic liver diseases,19.21,19.13,18.75,19.45,20.14,23.32,25.81,27.21,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Mental and substance use disorders,4.76,5.35,5.79,6.76,8.56,12.69,17.6,15.88,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,"Forces of nature, war, and legal intervention",0.69,1.19,0.71,0.68,0.72,8.52,1.5,0.22,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Unintentional injuries,33.24,29.0,27.28,26.33,25.75,26.03,27.25,26.1,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Nutritional deficiencies,2.38,2.35,2.3,2.48,2.52,2.0,1.69,1.7,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,"Other communicable, maternal, neonatal, and nutritional diseases",1.9,2.09,2.49,3.04,3.23,2.16,1.53,1.48,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Cardiovascular diseases,529.06,499.78,456.69,440.7,424.96,383.26,341.14,350.49,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,"Diarrhea, lower respiratory, and other common infectious diseases",37.15,38.27,38.56,40.47,39.24,36.57,34.68,35.71,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Maternal disorders,0.31,0.27,0.29,0.25,0.24,0.32,0.34,0.33,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Other non-communicable diseases,10.58,10.12,9.86,8.89,8.27,8.22,7.81,7.75,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Self-harm and interpersonal violence,29.09,27.79,28.34,28.86,27.01,27.88,31.32,33.38,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Neoplasms,259.24,261.71,261.51,270.86,260.21,253.14,240.89,248.43,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Transport injuries,40.8,37.88,39.63,38.25,36.39,36.61,32.35,31.71,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1053,Neglected tropical diseases and malaria,0.06,0.05,0.04,0.03,0.04,0.07,0.07,0.06,38319.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1055,Neonatal disorders,9.67,7.88,7.1,5.72,5.93,6.44,5.86,5.29,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,HIV/AIDS and tuberculosis,1.46,1.89,6.69,11.0,3.92,3.25,2.19,1.71,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Musculoskeletal disorders,3.42,3.44,3.55,3.82,4.1,3.81,3.34,3.19,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,"Diabetes, urogenital, blood, and endocrine diseases",46.47,50.5,53.88,63.3,73.02,78.59,80.4,77.72,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Digestive diseases,20.56,20.6,20.02,20.01,19.83,19.24,18.48,18.33,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Chronic respiratory diseases,41.45,46.93,53.99,64.33,77.87,85.24,90.12,97.44,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Neurological disorders,73.11,78.58,85.0,104.48,112.91,135.4,139.1,150.15,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Cirrhosis and other chronic liver diseases,16.38,17.23,17.87,19.02,21.44,25.68,29.64,31.91,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Mental and substance use disorders,3.24,3.53,4.18,5.21,7.32,11.8,13.36,15.91,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,"Forces of nature, war, and legal intervention",0.28,0.27,0.27,1.16,0.3,1.59,0.37,0.12,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Unintentional injuries,29.88,25.89,25.55,25.14,24.34,25.15,25.32,25.02,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Nutritional deficiencies,1.92,2.06,1.99,2.23,2.49,2.04,1.9,1.83,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,"Other communicable, maternal, neonatal, and nutritional diseases",1.9,2.17,2.77,3.46,3.69,2.52,1.67,1.58,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Cardiovascular diseases,543.85,522.92,471.17,435.46,436.46,396.91,364.18,356.71,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,"Diarrhea, lower respiratory, and other common infectious diseases",40.73,47.81,51.52,58.08,55.36,58.9,59.74,60.51,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Maternal disorders,0.22,0.23,0.27,0.31,0.27,0.39,0.4,0.38,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Other non-communicable diseases,10.07,9.64,9.37,8.49,8.17,8.03,7.68,7.71,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Self-harm and interpersonal violence,29.94,28.09,30.04,29.11,27.22,28.53,28.62,29.06,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Neoplasms,246.01,252.57,253.73,263.46,257.99,252.19,243.37,247.51,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Transport injuries,30.94,28.2,30.52,27.6,27.88,28.44,24.57,24.26,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1055,Neglected tropical diseases and malaria,0.04,0.04,0.03,0.02,0.03,0.05,0.05,0.04,104430.0,ND,ND,ND,ND,0.065,ND,9.8,22,ND
1069,Neonatal disorders,10.96,7.98,6.92,5.53,5.63,5.8,4.94,4.49,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,HIV/AIDS and tuberculosis,0.88,1.49,6.9,12.29,5.08,4.72,3.55,3.4,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,Musculoskeletal disorders,3.24,3.3,3.42,3.84,4.26,4.06,3.6,3.6,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,"Diabetes, urogenital, blood, and endocrine diseases",46.55,48.67,48.35,53.57,59.5,59.8,54.89,56.89,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,Digestive diseases,20.73,19.81,18.36,18.06,17.65,16.57,15.46,14.99,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,Chronic respiratory diseases,44.46,47.2,49.46,57.03,65.82,66.18,66.72,66.9,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,Neurological disorders,88.13,88.78,89.36,106.38,109.96,128.23,122.3,123.63,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,Cirrhosis and other chronic liver diseases,18.57,17.31,15.67,15.27,15.68,16.92,17.96,18.06,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,Mental and substance use disorders,3.29,3.44,3.62,4.69,5.74,8.26,12.07,11.97,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,"Forces of nature, war, and legal intervention",0.27,0.26,0.22,0.18,0.21,1.19,0.26,0.07,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,Unintentional injuries,29.69,24.84,22.28,21.65,20.71,20.75,20.51,19.47,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,Nutritional deficiencies,1.59,1.45,1.44,1.61,1.81,1.41,1.28,1.27,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,"Other communicable, maternal, neonatal, and nutritional diseases",1.71,1.77,2.14,2.57,2.83,1.81,1.27,1.27,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,Cardiovascular diseases,506.26,469.14,403.98,403.92,389.14,341.69,301.74,300.26,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,"Diarrhea, lower respiratory, and other common infectious diseases",31.29,29.18,28.92,28.75,28.87,27.04,23.51,24.5,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,Maternal disorders,0.3,0.26,0.28,0.23,0.24,0.34,0.34,0.35,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,Other non-communicable diseases,9.9,9.6,8.98,8.28,7.69,7.51,7.17,7.09,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,Self-harm and interpersonal violence,25.09,23.21,22.53,22.49,19.1,20.79,19.48,20.39,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,Neoplasms,237.89,236.42,231.44,239.41,235.05,228.67,219.36,219.67,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1069,Transport injuries,35.32,31.06,28.19,26.89,25.9,24.24,20.56,19.57,101547.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
